"Award_Num","Abstract","Discipline","End_Year","Funding_Agency","PI","Place","Program","Project_Title","Region","Season","Start_Year"
"0002498","This exploratory research by an interdisciplinary team involves visiting with Inupiaq leaders in the Kotzebue Sound area to begin a dialog with local Arctic communities about the possibilities for long-term ecosystem research. Within the framework of the Human Dimensions of the Arctic System (HARC) initiative, researchers will consult with communities as an important preliminary step in a collaborative effort to study environmental change in Northwest Alaska","Social and Human Sciences","2001","","","Kotzebue","","Relations between Traditional and Scientific Knowledge of the Kotzebue Sound Ecosystem: Exploratory Research","Alaska ","2000, 2001","2000"
"0002572","In contrast to natural disasters, technological disasters have been found to have long-term community impacts. The present research will identify patterns of social change in a small fishing community twelve years following the Exxon Valdez oil spill. The loss of ecological, social and cultural resources will be related to patterns of community stress and change from survey and ethnographic data collected from 1989 through 2001. This research will provide an evaluation of the Conservation of Resources theoretical model of collective stress for understanding the chronic social impacts of technological disasters for renewable resource communities.","Social and Human Sciences","2006","","Picou, J. Steven","Cordova","","Collaborative research: Technological Disaster, Resource Loss and Long-Term Social Change in a Subarctic Community","Alaska ","2000, 2001","2000"
"0003241","This project involves participation in an historic cruise through the Northwest Passage on a Canadian icebreaker accompanying a second ship that is sailing in celebration of the anniversary of several Canadian historical events. A marine biologic sampling program and associated environmental measurements will be conducted in coastal waters of the Northwest Passage, Canada. The samples collected during the cruise will be used to examine biogeographical patterns and the biocomplexity of benthic faunal populations. The baseline information of environmental factors and benthic populations in this area is critical for comparative studies of an area undergoing dramatic warming during the past decade. The warming may be causing significant changes in the quality and quantity of carbon reaching the seafloor. The comparison of these data to future distributions of faunal assemblages will allow examination of long-term ecosystem change in a area that may be undergoing significant climate change driven by anthropological effects on the environment.","Biology","2002","","","Northwest Passage","","Voyage of the ""RCMP St. Roch II"": A Journey of Scientific Re-Discovery","Arctic Ocean and Seas ","2000","2000"
"0003561","This project will use the eastern syntaxis of the Himalayan orogen to address key questions in the geodynamics of continental collisions: how do orogens and associated plateaus come to an end, how do tectonic and surficial processes interact to shape the crust during orogeny, and how is deformation partitioned at various scales? Specific hypotheses to be tested are: 1) rheology controls topography and lithospheric mechanics across plateau/indentor margin; 2) erosion controls lithospheric dynamics to the same extent as crustal thickening and lateral accommodation; feedbacks between the two ultimately shape the evolution of the orogen; and 3) there is complete decoupling between upper crustal and lower lithospheric deformation within the ""syntaxial"" region. The approach to be used involves tracking the magnitude, rates, and type of mass fluxes through the central region of the eastern Himalayan syntaxis. To do this, the Principal Investigators will use geochronologic, geomorphic, GPS, petrologic, seismic, and structural techniques, fully integrated by three-dimensional modeling.","Geological Sciences","2006","","","Himalayas","","Collaborative Research: Geodynamics Of Indentor Corners","Other ","2002","2001"
"0004233","The late Quaternary extent and thickness of ice and the deglacial chronology of the Northwest Peninsula of Iceland are poorly constrained. The Principal Investigators will conduct a collaborative research project on the glacial and deglacial history of the western coastline and uplands of western Hunafloi, NW Iceland, and the adjacent marine trough, Hunafloaall. The proposal builds on marine cruises in 1996, 1997 and 1999, and on a pilot field program conducted in the summer of 2000. The purpose of the project is to resolve the late Quaternary glacial history of part of NW Iceland and to correlate the terrestrial record with the marine record. This research will add new insight into the glacial history of marine arctic margins and a very old debate on biological ""refugia."" At least two models for the reconstruction of glacial extent during the Lower Glacial Maximum (LGM) and subsequent retreat have been suggested for Iceland, but these are based on only limited radiocarbon dates. In the NW Peninsula, the glacial reconstructions vary from an extensive ice cover model with no ice free areas to a refugia model in which ice free areas existed on the high plateaus with vascular plants surviving glaciation. These studies are based entirely on terrestrial glacial evidence and interpretations, but this must be intimately linked to the offshore sedimentary record of glacial and marine sediments. High-resolution 3.5 kHz acoustic stratigraphy and marine cores from the Hunafloaall trough suggest that the LGM extent may have been relatively restricted. In Hunafloaall, a basal dimicton containing foraminifera, is overlain by a thin (<2 m) sequence of IRD-rich glacial-marine and marine sediments. Basal dates on the IRD-rich muds indicate deglaciation occurred by 13 thousand years ago (ka). Dates from the dimictons are finite and > 20 ka. Such a thin deglacial sequence provides a major contrast with SW Iceland where the deglacial sediments reach thickness of 10-40+ m. The virtual absence of deglacial sediments in Hunafloaall is perplexing and raises serious questions of ice extent and chronology on the adjacent NW Peninsula. Cosmogenic isotope exposure dating techniques will be used to constrain ""maximum"" and ""minimum"" models of glacial extent. Specifically, 3He and 36CI isotopes will be used to date the basaltic upland surfaces, end and lateral moraines, and glacial erratics. Tephrachronology and physical properties of the sediment samples will be used to link the terrestrial and marine records. The Principal Investigators will continue their field and laboratory investigations on: 1) the vertical and lateral extent of glaciation along this coastline, including collection of samples for cosmogenic isotope exposure dating; 2) the pattern and timing of deglaciation and any subsequent glacier expansion; 3) investigation of the marine cores with the view toward discriminating between tills and glacial marine dimictons, and with a focus on more accurately dating the onset of deglaciation; and 4) changes in relative sea level as a measure of ice load and history. The field work will continue and expand a pilot program that began in summer of 2000, involving the Universities of Colorado, Iceland, Goteborg, and Edinburg","Geological Sciences","2005","","","Hunafloaall","","Ice Extent and Late Glacial and Deglacial History of W.Hunafloi, NW Iceland: Combining Terrestrial and Marine Evidence","Iceland ","2002","2001"
"0004446","Antifreeze Proteins (AFPs), which lower the freezing point of water by an unusual non-colligative mechanism, have been identified in marine fish, insects and other terrestrial arthropods, plants, fungi and bacteria. There is tremendous variation in the structures of AFPs both between and within these groups of organisms. The most active known AFPs are found in insects, where they typically assist freeze-susceptible insects to avoid freezing by inhibiting inoculative freezing initiated by external ice across the cuticle, and by promoting supercooling by inhibiting potential internal ice nucleators. A few AFP-producing insects are freeze-tolerant, able to survive freezing, and in these the AFPs apparently function as a cryoprotectant to protect from freeze damage, however the mechanism is unknown. Two types of insect AFPs have been characterized. One is found in the beetles Dendroides and Tenebrio. The other is from the spruce budworm caterpillar. Interestingly, although AFPs have been found in many insects, they have not previously been described in Alaskan or Arctic insects until recently when AFPs were found in 7 of 12 insects screened from near Fairbanks, Alaska. This presents an opportunity to study AFPs in insects that are exposed to extremely cold winter temperatures.    There are four aspects to the proposed study. One of these will concentrate on the role of AFPs in the cold tolerance of overwintering larvae of the beetle Cucujus clavipes. Previous studies on populations of this species from Indiana showed the presence of AFPs in these larvae which have a lower lethal temperature of -20 to -25 C. In the late 1970's this species from near Fairbanks, Alaska was shown to have a lower lethal temperature of ""-55 C or less"". Both the Indiana and Alaskan populations produce the Dendroides/Tenebrio-type AFPs. In this study, comparisons of the role of AFPs in populations from Indiana and Alaska (from near Fairbanks, just south of the Arctic Circle, and from near Wiseman, above the Arctic Circle and near the limit of treeline). Thus, one can study this species over a tremendous latitudinal range, from a temperate climate to the interior of Alaska, one of the coldest climates in North America.    A second component of the study aims to purify and characterize a new type of AFP. The stinkbug Elasmostethus interstinctus is an AFP-producing insect common in interior Alaska. Molecular probes have demonstrated that the bug's AFP is different from either the Dendroides/Tenebrio-type or the spruce budworm-type AEPs. The abundance, ease of collection, large size and exposure to very cold temperatures in this insect make it an excellent system in which to identify a new insect AFP.    The third aspect of this study is to screen the hemolymph of insects for thermal hysteresis activity characteristic of AFPs. This will identify which species have AFPs. Insects will be collected from two sites in the taiga of interior Alaska, near Fairbanks and near Wiseman, and especially from a true tundra site in the vicinity of the Institute of Arctic Biology, University of Alaska, Fairbanks, Toolik Field Station. These sites provide a wide diversity of insects. AFPs have not been previously investigated in insects from these regions, and no aspect of the cold tolerance of insects from Toolik has previously been studied. This screen should identify new species of AFP-producing insects from very cold environments, some of which may provide excellent model systems for future study.    In addition, microhabitat temperatures and overwintering survival of selected insect species will be determined. These are important to collaborate laboratory determinations of various physiological parameters. Thus this study will integrate classical physiological ecology with biochemistry and molecular studies of antifreeze proteins in insects from these severe arctic and subarctic environments.    Since their initial discovery in Antarctic fish the study of AFPs in both animals and plants has burgeoned, and today scores of laboratories study these proteins. In particular insect AFPs have tremendous potential for both basic and applied work since they are the most active AFPs known. Numerous possible uses of AFPs exist, especially in cryopreservation of biomedical materials, food preservation and agriculture. Therefore, the study of AFPs from such highly cold adapted insects may yield information of great value.","Biology","2004","","","Toolik, Utqiaġvik","","Collaborative Research: Studies of Antifreeze Proteins in Arctic and Neararctic Insects","Alaska ","2001, 2002, 2003, 2004","2001"
"0004466","The project’s objective at Clyde is to reconstruct the glacial history of the region for the last glacial cycle, or from about 120,000 years ago to about 8,000 years ago.  Research involves mapping glacier and marine deposits from the ground and from aerial photography.  Mapping the former ice margins is the first step, dating them is the second.  Dating techniques include relative and radiocarbon dating, but most of our effort focuses on cosmogenic isotope dating.  This method dates the duration that glacially-deposited boulders and glacially-eroded bedrock has been exposed to the cosmic-ray flux, thus gives us the age of when ice was last present at that locality.  The Clyde area was studied in the 1970s and was found to have a unique glacial-geologic setting.  The Laurentide Ice Sheet, which covered most of Canada during the last glacial cycle, reached its maximum position in most areas late during the cycle, and obliterated its deposits from earlier during the last cycle.  At Clyde, researchers think that the ice sheet was relatively restricted during late in the cycle, and thus preserved landforms and deposits from earlier in the cycle.  Thus, the aim of the group’s research at Clyde is to study these older deposits to get a rare glimpse into Arctic climate change during the early part of the last glacial cycle.","Geological Sciences","2004","","","Clyde River","","Collaborative Research: The NE Sector of the Laurentide Ice Sheet: Dating Outlet and Local Glacier Moraines","Canada ","2001, 2002, 2003, 2004","2001"
"0071082","Part of an international effort involving a partnership of researchers and indigenous organizations in Greenland, Canada, Norway, Sweden, Finland, Denmark, Russia, and the United States, this project seeks to understand the relationships between economic development and Native-state arrangements and their effects on living conditions among Inuit, Saami, and Chukotkan peoples. Results of the study are intended to provide circumpolar Native organizations and local governments with information to help make policy decisions. The key research question is how are the rapid social, political, economic and environmental changes occurring in the Arctic today affecting the people there? This portion of the international study will address this question as a formal pretest of the research design (questionnaire and field methods) in Alaska.","Social and Human Sciences","2001","","","Utqiaġvik","","A Survey of Living Conditions in the Arctic: Inuit, Saami an d the Indigenous Peoples of Chukotka","Alaska ","2001","2000"
"0075122","This pilot project will begin a study of the climate and hydrology near the isolated Lake El'gygytgyn in Siberia. This unique lake was formed by a meteor impact about 3.6 million years ago. Other funded projects are evaluating the climate history of eastern Siberia by examination of the undisturbed sediments in the Lake. The proposed project would place a full meteorological tower at one of the stream inlets to the Lake in order to measure precipitation, air temperature, soil moisture, solar radiation, relative humidity, snow depth, and soil temperature. This data will begin baseline measurements of the local climate. Data would be collected during 6 weeks in summer 2000 and instruments left for automated collection over the next 2 years. The data would be used to begin an evaluation the hydrological cycle in eastern Siberia, a region where our current understanding of regional climatological is weak. This work could form the basis for more extensive future research on the vegetation and water cycles of Siberia following the research format presently occurring in the Alaskan tundra.","Geological Sciences","2001","","","Lake El'gygytgyn","","A Watershed-Scale Hydrologic Process Study of Lake El'gygytgyn: A Pilot Project","Russia ","2000","2000"
"0076039","The Principal Investigator will take advantage of an unexpected opportunity for investigating hibernation behavior, physiology, and neurobiology in hibernating black bears, Ursus americanus. The Alaska Department of Fish and Game will provide two ""trouble"" bears that are just entering hibernation. These bears would be destroyed because they have a history of endangering people.    The Principal Investigator has outdoor artificial dens and preliminary that suggests that large mammalian hibernators achieve energy savings with very different physiological mechanisms than do small hibernators, such as arctic ground squirrels, Spennophilus parryii. For example, bears substantially reduce their metabolic rate and do not fast for six months. They achieve this with only a 3-5oC reduction in body temperature (versus a 40 oC decline in ground squirrels). They also remain almost continuously in slow-wave sleep. The Principal Investigator will measure these variables using state-of-the-art telemetry, which allows them to continuously monitor body temperatures, brain waves, EKG, and rates of oxygen consumption in untethered black bears hibernating in natural conditions for six months. There is now an unexpected opportunity to extend these measurements to a female that is likely to be pregnant. This hibernation physiology has never been studied in a hibernating bear that will gestate, give birth, and nurse an offspring.    The Principal Investigator will collaborate with Dr. Oivind Toien, previously with the Norsk Polar Institute. Dr. Toien is critical to the study because of his expertise in respirometry and telemetry.","Biology","2001","","","Fairbanks","","Physiological Limits to Hibernation in Large Mammals: Energetics, Body Composition, and Sleep in Black Bears (SGER)","Alaska ","2000","2000"
"0080798","The Wales archaeology project focuses on a community in Alaska that, during contact period, comprised a population of at least 500 individuals. Historically the village was a primary socioeconomic center in northwest Alaska. Wales people engaged in trade and warfare with Asiatic Eskimos; these activities may have drawn the large Wales population to the location. This circumstance provides perhaps the best opportunity in western Alaska to examine the possibility of social ranking in late prehistoric Eskimo society. The results of this analysis will therefore pertain directly to sociopolitical and socioterritorial studies of hunter-gatherer groups worldwide, and they will contribute substantially to increased understanding of developing complexity in egalitarian societies as they are transformed into formally ranked social groups such as those that have been documented in the Northwest Coast culture area. Analyses of trait distributions will also examine relations between the late prehistoric Eskimo manifestations at three sites in the Wales locality. The sites contain faunal remains, which can illuminate the context in which the prehistoric human predation of whales was carried out against the background of simultaneous exploitation of various non-cetacean marine and terrestrial fauna. Preliminary findings indicate that non-cetacean sea mammals played a much larger role in the economy of Wales than has been suggested previously, and they raise a number of questions concerning the carrying capacity of the local resources in relation to the exceedingly large number of human inhabitants of the locality. Further development of the faunal database and accompanying analysis will illuminate how the large, concentrated population used local resources. The results will contribute to an increased precision in interpretations of the role of mega-fauna in prehistoric Pleistocene and Holocene human subsistence economies","Social and Human Sciences","2003","","","Wales","","Late Prehistoric Cultural Dynamics and the subsistence Parameters of Whaling at Wales, Alaska","Alaska ","2000, 2001","2000"
